team,date,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed
DET,10/2/11,0,3,331,113,1,30
DET,10/10/11,0,0,249,122,3,13
DET,10/16/11,1,1,125,203,2,25
DET,10/23/11,0,2,218,129,3,23
DET,10/30/11,2,1,172,195,7,10
DET,11/13/11,1,0,123,109,2,37
DET,11/20/11,0,4,280,137,1,35
DET,11/24/11,0,0,307,53,2,27
DET,12/4/11,0,0,342,100,2,31
DET,12/11/11,3,3,199,269,4,28
DET,12/18/11,1,0,367,132,3,27
DET,12/24/11,0,2,299,68,0,10
DET,1/1/11,1,1,480,81,3,45
DET,1/7/11,2,0,466,167,2,45
CAR,9/11/11,1,0,309,99,2,28
CAR,9/18/11,1,0,308,124,1,30
CAR,9/25/11,0,1,139,128,2,10
CAR,10/2/11,0,1,102,224,1,34
CAR,10/9/11,0,1,359,101,2,30
CAR,10/16/11,0,0,163,166,1,31
CAR,10/23/11,2,1,279,92,3,20
CAR,10/30/11,1,0,236,132,4,24
CAR,11/13/11,0,1,219,172,1,30
CAR,11/20/11,1,2,335,169,2,49
CAR,11/27/11,0,2,226,105,2,19
CAR,12/4/11,0,1,229,78,2,19
CAR,12/11/11,0,0,320,86,3,31
CAR,12/18/11,1,2,212,150,2,13
CAR,12/24/11,3,1,274,59,3,16
CAR,1/1/11,0,1,409,208,0,45
SDG,9/11/11,0,1,39,159,2,17
SDG,9/18/11,0,0,423,94,2,35
SDG,9/25/11,0,1,176,81,1,17
SDG,10/2/11,0,2,194,72,3,16
SDG,10/9/11,0,1,113,162,0,24
SDG,10/23/11,1,1,173,162,2,27
