Rk,G#,Date,Tm,,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,FantPt,DKPt,FDPt
12,12,12/3/17,NWE,@,BUF,W 23-3,QB,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.32,9.3,9.3
13,13,12/11/17,NWE,@,MIA,L 20-27,QB,2,5,7,1,0,0,0,2,3,7,1,0,0,0,9.32,11.3,11.3
14,14,12/17/17,NWE,@,PIT,W 27-24,QB,2,5,14,1,0,0,0,1,2,4,1,0,0,0,15.72,16.7,16.7
15,15,12/24/17,NWE,,BUF,W 37-16,QB,5,6,44,2,0,0,0,0,1,0,0,0,0,0,15.56,16.6,16.6
16,16,12/31/17,NWE,,NYJ,W 26-6,QB,4,5,25,2,0,0,0,2,3,10,2,0,0,0,15.6,15.6,15.6
1,1,9/9/18,NWE,,HOU,W 27-20,QB,3,5,30,2,,,,1,1,4,1,0,0,0,21.28,22.3,22.3
2,2,9/16/18,NWE,@,JAX,L 20-31,QB,2,4,7,1,,,,1,1,7,1,0,0,0,16.36,17.4,16.4
3,3,9/23/18,NWE,@,DET,L 10-26,QB,1,2,10,1,1,2,0,1,1,10,1,0,0,0,7.52,8.5,8.5
4,4,9/30/18,NWE,,MIA,W 38-7,QB,3,6,36,2,,,,1,3,9,1,0,0,0,18.96,21,21
5,5,10/4/18,NWE,,IND,W 38-24,QB,6,6,31,2,1,1,1,3,3,13,2,1,1,1,27.54,32.5,29.5
6,6,10/14/18,NWE,,KAN,W 43-40,QB,2,5,16,1,2,3,1,1,4,-1,0,2,3,1,21.8,25.8,21.8
7,7,10/21/18,NWE,@,CHI,W 38-31,QB,5,7,36,3,,,,3,5,16,3,0,0,0,21.68,22.7,22.7
8,8,10/29/18,NWE,@,BUF,W 25-6,QB,1,4,7,0,,,,0,3,0,0,0,0,0,13.76,16.8,13.8
9,9,11/4/18,NWE,,GNB,W 31-17,QB,2,8,9,0,1,2,0,0,6,0,0,1,2,0,15.66,15.7,15.7
10,10,11/11/18,NWE,@,TEN,L 10-34,QB,2,2,16,0,1,0,0,0,0,0,0,0,0,0,10.76,11.8,11.3
11,11,11/25/18,NWE,@,NYJ,W 27-13,QB,1,6,16,0,,,,0,3,0,0,0,0,0,19.22,19.2,19.2
12,12,12/2/18,NWE,,MIN,W 24-10,QB,5,6,32,0,,,,1,2,5,0,0,0,0,14.94,18.9,15.9
13,13,12/9/18,NWE,@,MIA,L 33-34,QB,5,10,42,2,,,,2,4,3,1,0,0,0,26.62,29.6,26.6
14,14,12/16/18,NWE,@,PIT,L 10-17,QB,5,6,20,0,,,,0,0,0,0,0,0,0,13.16,14.2,14.2
15,15,12/23/18,NWE,,BUF,W 24-12,QB,,,,,,,,,,,,,,,5.04,7,7
16,16,12/30/18,NWE,,NYJ,W 38-3,QB,6,9,68,4,,,,2,4,14,2,0,0,0,26,26,26
